time[s] cpu.0.freq[MHz] cpu.0.recload cpu.0.load cpu.1.freq[MHz] cpu.1.recload cpu.1.load cpu.2.freq[MHz] cpu.2.recload cpu.2.load cpu.3.freq[MHz] cpu.3.recload cpu.3.load cpu.4.freq[MHz] cpu.4.recload cpu.4.load cpu.5.freq[MHz] cpu.5.recload cpu.5.load cpu.6.freq[MHz] cpu.6.recload cpu.6.load cpu.7.freq[MHz] cpu.7.recload cpu.7.load max(freqs)[MHz] sum(recloads) max(recloads) sum(loads) max(loads)
26.000 2200 0.092 0.065 2200 0.000 0.000 2200 0.067 0.047 2200 0.083 0.059 2200 0.092 0.067 2200 0.000 0.000 2200 0.067 0.047 2200 0.083 0.059 2200 0.483 0.092 0.344 0.092
26.250 1900 0.067 0.052 1900 0.067 0.052 1900 0.067 0.052 1900 0.020 0.016 1900 0.067 0.052 1900 0.067 0.052 1900 0.067 0.052 1900 0.020 0.016 1900 0.440 0.067 0.340 0.067
26.500 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
26.750 2401 0.525 0.505 2401 0.287 0.277 2401 0.158 0.149 2401 0.167 0.137 2401 0.525 0.505 2401 0.287 0.277 2401 0.158 0.149 2401 0.167 0.137 2401 2.273 0.525 2.137 0.525
27.000 2401 0.025 0.018 2401 0.133 0.094 2401 0.093 0.066 2401 0.300 0.212 2401 0.025 0.018 2401 0.133 0.094 2401 0.093 0.066 2401 0.300 0.212 2401 1.103 0.300 0.781 0.300
27.250 2401 0.050 0.035 2401 0.025 0.018 2401 0.037 0.026 2401 0.020 0.014 2401 0.050 0.035 2401 0.025 0.018 2401 0.037 0.026 2401 0.020 0.014 2401 0.263 0.050 0.186 0.050
27.500 2200 0.025 0.019 2200 0.142 0.109 2200 0.200 0.155 2200 0.075 0.058 2200 0.025 0.019 2200 0.142 0.109 2200 0.200 0.155 2200 0.075 0.058 2200 0.883 0.200 0.682 0.200
27.750 2200 0.100 0.077 2200 0.000 0.000 2200 0.200 0.155 2200 0.000 0.000 2200 0.100 0.077 2200 0.000 0.000 2200 0.200 0.155 2200 0.000 0.000 2200 0.600 0.200 0.463 0.200
28.000 2200 0.033 0.026 2200 0.000 0.000 2200 0.067 0.052 2200 0.058 0.045 2200 0.033 0.026 2200 0.000 0.000 2200 0.067 0.052 2200 0.058 0.045 2200 0.317 0.067 0.245 0.067
28.250 1900 0.000 0.000 1900 0.025 0.022 1900 0.025 0.022 1900 0.058 0.052 1900 0.000 0.000 1900 0.025 0.022 1900 0.025 0.022 1900 0.058 0.052 1900 0.217 0.058 0.194 0.058
